user_id,net_last_balance,location_changed,home_grid_active_users,office_grid_active_users,requests_sent,requests_accepted,travel_distance,travel_count,free_rides,recency_minutes,points_earned,route_distance,user_gender,avg_rating,churn
0,5314.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,30,1,0.0,0.0
75,2358.0,1.0,1.0,17.0,27.0,1.0,12.0,1.0,0.0,42539.1333333,56.0,12,1,0.0,1.0
82,8975.5,1.0,4.0,119.0,10.0,30.0,300.0,30.0,7.0,855.066666667,1510.5,10,1,4.85714285714,1.0
86,2457.0,1.0,0.0,0.0,0.0,0.0,32.0,2.0,0.0,28150.7333333,330.0,16,1,0.0,1.0
108,5148.4,1.0,1.0,119.0,10.0,3.0,124.0,4.0,0.0,237.316666667,455.5,31,1,4.5,1.0
147,477.5,0.0,0.0,0.0,0.0,0.0,28.0,2.0,0.0,37954.6,108.0,14,1,5.0,0.0
167,368.5,1.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,39202.9833333,60.0,12,1,5.0,1.0
195,206.5,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,37759.7166667,18.0,7,1,0.0,0.0
198,40.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,29389.3333333,48.0,19,0,0.0,0.0
224,167.0,1.0,2.0,305.0,24.0,3.0,33.0,3.0,0.0,6392.55,104.5,11,1,0.0,1.0
244,90.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,0.0,39389.3166667,108.0,35,1,0.0,0.0
269,0.0,1.0,4.0,119.0,13.0,1.0,7.0,1.0,0.0,30493.9833333,18.0,7,0,0.0,0.0
285,6.5,1.0,5.0,119.0,3.0,21.0,132.0,33.0,33.0,359.966666667,0.0,4,0,5.0,1.0
303,3435.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,20000.0,0.0,3,1,0.0,0.0
439,722.5,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,26006.6,66.0,26,1,0.0,0.0
475,240.0,1.0,0.0,0.0,0.0,0.0,37.0,1.0,0.0,18195.9333333,105.0,37,1,1.0,0.0
526,161.5,0.0,3.0,20.0,1.0,2.0,18.0,2.0,0.0,25416.3666667,33.5,9,1,0.0,1.0
674,572.5,0.0,7.0,16.0,192.0,1.0,23.0,1.0,0.0,36507.1,75.0,23,1,0.0,0.0
884,570.5,0.0,11.0,305.0,9.0,8.0,168.0,8.0,0.0,15205.85,0.0,21,1,4.8,1.0
893,792.0,0.0,2.0,305.0,8.0,2.0,56.0,2.0,0.0,10625.3666667,189.0,28,1,3.0,0.0
930,1155.5,0.0,0.0,0.0,0.0,0.0,39.0,3.0,0.0,28289.0833333,200.5,13,1,0.0,0.0
933,117.5,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,20000.0,141.0,58,1,0.0,1.0
956,8233.5,1.0,2.0,305.0,6.0,22.0,1089.0,33.0,0.0,4737.06666667,1968.0,33,1,0.0,1.0
971,376.5,1.0,5.0,305.0,59.0,1.0,13.0,1.0,0.0,36486.4833333,45.5,13,1,0.0,1.0
1108,9463.5,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,41999.9333333,36.0,11,1,0.0,0.0
1111,1025.0,0.0,3.0,22.0,287.0,28.0,1452.0,44.0,6.0,10593.2666667,3825.0,33,1,5.0,1.0
1308,21.5,1.0,2.0,2.0,1.0,1.0,22.0,1.0,0.0,39191.0,0.0,22,1,0.0,0.0
1313,6.5,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,16442.5,0.0,11,0,0.0,0.0
1388,12.0,0.0,7.0,39.0,26.0,6.0,168.0,6.0,0.0,6083.51666667,98.0,28,1,0.0,1.0
1397,382.0,0.0,16.0,305.0,24.0,15.0,210.0,15.0,15.0,3542.81666667,0.0,14,1,5.0,1.0
1420,2504.0,0.0,0.0,0.0,0.0,0.0,36.0,3.0,0.0,35439.2,195.5,12,1,0.0,1.0
1428,157.0,0.0,16.0,305.0,2.0,26.0,280.0,28.0,0.0,526.166666667,0.0,10,0,3.5,1.0
1437,55.5,1.0,2.0,17.0,20.0,1.0,9.0,1.0,1.0,20522.8833333,0.0,9,1,0.0,1.0
1457,1347.5,0.0,0.0,0.0,0.0,0.0,114.0,3.0,0.0,6447.7,435.0,38,1,0.0,1.0
1469,0.0,1.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,10489.45,48.0,16,1,0.0,0.0
1508,223.0,1.0,0.0,0.0,0.0,0.0,32.0,2.0,0.0,28150.7333333,0.0,16,1,0.0,1.0
1566,140.0,1.0,2.0,119.0,27.0,1.0,29.0,1.0,0.0,24756.6,93.0,29,1,0.0,0.0
1591,1244.0,1.0,0.0,0.0,0.0,0.0,105.0,5.0,0.0,5132.33333333,390.0,21,1,5.0,1.0
1603,0.0,0.0,8.0,20.0,3.0,2.0,28.0,2.0,0.0,29287.6833333,87.5,14,1,0.0,0.0
1647,515.0,1.0,4.0,7.0,286.0,5.0,165.0,5.0,0.0,27658.8333333,513.0,33,1,0.0,1.0
1677,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,0.0,8879.58333333,0.0,38,0,0.0,0.0
1701,325.5,1.0,1.0,1.0,2.0,32.0,627.0,57.0,36.0,106.75,2073.0,11,1,5.0,1.0
1716,712.0,0.0,0.0,0.0,0.0,0.0,99.0,9.0,0.0,18066.8666667,297.0,11,1,5.0,1.0
1723,546.5,1.0,0.0,0.0,0.0,0.0,273.0,21.0,0.0,488.3,1270.5,13,1,0.0,1.0
1724,286.5,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,29272.3833333,45.0,7,1,5.0,1.0
